Name,1970,1980,1990,2000,2011-2015
Ohio,0.093,0.137,0.170,0.211,0.261
Adams        ,0.030,0.054,0.052,0.072,0.105
Allen        ,0.069,0.100,0.114,0.134,0.174
Ashland        ,0.092,0.124,0.130,0.159,0.204
Ashtabula        ,0.055,0.081,0.090,0.111,0.133
Athens        ,0.148,0.203,0.234,0.257,0.291
Auglaize        ,0.051,0.084,0.098,0.134,0.175
Belmont        ,0.042,0.075,0.090,0.111,0.151
Brown        ,0.039,0.070,0.074,0.088,0.121
Butler        ,0.085,0.141,0.187,0.235,0.284
Carroll        ,0.043,0.062,0.079,0.091,0.114
Champaign        ,0.047,0.087,0.097,0.106,0.155
Clark        ,0.072,0.106,0.122,0.149,0.181
Clermont        ,0.055,0.104,0.145,0.208,0.271
Clinton        ,0.077,0.108,0.116,0.141,0.158
Columbiana        ,0.048,0.085,0.085,0.108,0.139
Coshocton        ,0.051,0.089,0.081,0.098,0.121
Crawford        ,0.064,0.076,0.093,0.097,0.126
Cuyahoga        ,0.111,0.157,0.201,0.251,0.305
Darke        ,0.048,0.078,0.088,0.101,0.123
Defiance        ,0.070,0.110,0.125,0.143,0.167
Delaware        ,0.115,0.186,0.264,0.410,0.518
Erie        ,0.080,0.114,0.138,0.166,0.212
Fairfield        ,0.063,0.115,0.155,0.208,0.260
Fayette        ,0.046,0.073,0.085,0.107,0.141
Franklin        ,0.145,0.212,0.266,0.318,0.376
Fulton        ,0.054,0.093,0.103,0.132,0.172
Gallia        ,0.050,0.088,0.109,0.116,0.151
Geauga        ,0.145,0.205,0.259,0.317,0.370
Greene        ,0.147,0.211,0.260,0.311,0.371
Guernsey        ,0.046,0.082,0.092,0.100,0.135
Hamilton        ,0.127,0.187,0.237,0.292,0.350
Hancock        ,0.108,0.147,0.187,0.217,0.258
Hardin        ,0.074,0.104,0.116,0.114,0.135
Harrison        ,0.039,0.055,0.070,0.090,0.086
Henry        ,0.054,0.078,0.103,0.111,0.161
Highland        ,0.041,0.068,0.082,0.097,0.121
Hocking        ,0.051,0.072,0.081,0.098,0.151
Holmes        ,0.029,0.067,0.066,0.083,0.078
Huron        ,0.060,0.089,0.094,0.109,0.131
Jackson        ,0.044,0.078,0.079,0.110,0.172
Jefferson        ,0.048,0.076,0.088,0.118,0.151
Knox        ,0.084,0.107,0.128,0.167,0.218
Lake        ,0.089,0.142,0.175,0.215,0.263
Lawrence        ,0.042,0.065,0.082,0.103,0.147
Licking        ,0.074,0.112,0.130,0.184,0.228
Logan        ,0.042,0.087,0.089,0.115,0.157
Lorain        ,0.071,0.109,0.123,0.166,0.228
Lucas        ,0.094,0.140,0.170,0.213,0.242
Madison        ,0.046,0.074,0.090,0.130,0.171
Mahoning        ,0.073,0.108,0.140,0.175,0.222
Marion        ,0.059,0.099,0.099,0.111,0.124
Medina        ,0.083,0.154,0.180,0.248,0.308
Meigs        ,0.029,0.060,0.073,0.074,0.129
Mercer        ,0.058,0.083,0.086,0.127,0.157
Miami        ,0.069,0.106,0.141,0.163,0.206
Monroe        ,0.040,0.054,0.068,0.084,0.099
Montgomery        ,0.112,0.160,0.200,0.228,0.257
Morgan        ,0.036,0.060,0.074,0.091,0.111
Morrow        ,0.040,0.065,0.072,0.095,0.139
Muskingum        ,0.059,0.085,0.101,0.126,0.151
Noble        ,0.037,0.059,0.056,0.081,0.093
Ottawa        ,0.063,0.092,0.135,0.160,0.217
Paulding        ,0.041,0.054,0.069,0.078,0.127
Perry        ,0.028,0.063,0.058,0.069,0.110
Pickaway        ,0.059,0.085,0.090,0.114,0.171
Pike        ,0.067,0.086,0.080,0.097,0.118
Portage        ,0.123,0.151,0.176,0.210,0.260
Preble        ,0.051,0.076,0.070,0.101,0.118
Putnam        ,0.050,0.073,0.088,0.129,0.194
Richland        ,0.064,0.101,0.116,0.126,0.157
Ross        ,0.058,0.087,0.092,0.113,0.147
Sandusky        ,0.054,0.092,0.107,0.119,0.145
Scioto        ,0.046,0.071,0.085,0.101,0.144
Seneca        ,0.064,0.092,0.101,0.125,0.142
Shelby        ,0.057,0.085,0.112,0.128,0.163
Stark        ,0.071,0.113,0.143,0.179,0.219
Summit        ,0.105,0.155,0.197,0.251,0.303
Trumbull        ,0.065,0.100,0.114,0.145,0.173
Tuscarawas        ,0.046,0.078,0.090,0.122,0.144
Union        ,0.067,0.103,0.120,0.159,0.262
Van Wert        ,0.054,0.075,0.093,0.120,0.157
Vinton        ,0.045,0.055,0.048,0.060,0.091
Warren        ,0.059,0.113,0.180,0.284,0.396
Washington        ,0.078,0.114,0.132,0.150,0.175
Wayne        ,0.087,0.126,0.139,0.172,0.212
Williams        ,0.063,0.083,0.089,0.107,0.139
Wood        ,0.113,0.186,0.219,0.262,0.311
Wyandot        ,0.042,0.087,0.087,0.098,0.141
