,County,2011-2016 Total Deaths,2011-2015 Avg Edu,2011-2015 Avg Unemploy,Median HH Income,kmean_label
0,MONTGOMERY,1278,0.257,7.459999999999999,46696,1
1,BROWN,100,0.121,9.16,47202,0
2,BUTLER,849,0.284,6.88,58954,1
3,CLERMONT,451,0.271,6.779999999999999,62214,2
4,ADAMS,56,0.105,11.319999999999999,36609,0
5,CLARK,280,0.18100000000000002,7.12,47651,2
6,TRUMBULL,382,0.17300000000000001,8.559999999999999,42831,2
7,SCIOTO,148,0.14400000000000002,10.42,37277,0
8,CLINTON,80,0.158,9.720000000000002,47055,0
9,ROSS,152,0.147,7.76,45615,0
10,MARION,123,0.124,7.360000000000001,43529,0
11,FAYETTE,49,0.141,7.4799999999999995,45068,0
12,HAMILTON,1422,0.35,6.720000000000001,51070,1
13,JEFFERSON,107,0.151,9.86,43306,0
14,PREBLE,66,0.11800000000000001,7.06,51042,0
15,JACKSON,53,0.172,9.780000000000001,42828,0
16,PIKE,45,0.11800000000000001,11.36,39851,0
17,ERIE,117,0.212,7.5,48129,0
18,LAWRENCE,94,0.147,7.88,39698,0
19,RICHLAND,183,0.157,8.0,45273,0
20,ASHTABULA,146,0.133,8.6,44258,0
21,LORAIN,444,0.228,6.859999999999999,52779,2
22,LAKE,330,0.263,5.8,60782,2
23,SUMMIT,812,0.303,7.0200000000000005,51434,1
24,COLUMBIANA,150,0.139,7.82,42301,0
25,MAHONING,327,0.222,7.880000000000001,42443,2
26,GALLIA,42,0.151,8.959999999999999,38738,0
27,DARKE,66,0.12300000000000001,6.62,51131,0
28,LUCAS,607,0.242,7.720000000000001,43136,2
29,CUYAHOGA,1774,0.305,6.58,45506,1
30,HURON,73,0.131,9.22,48838,0
31,MEIGS,27,0.129,10.76,38479,0
32,GREENE,194,0.371,6.360000000000001,61250,2
33,MIAMI,115,0.20600000000000002,6.68,51685,0
34,GUERNSEY,44,0.135,8.280000000000001,41630,0
35,SANDUSKY,67,0.145,6.959999999999999,49994,0
36,CHAMPAIGN,43,0.155,6.640000000000001,58837,0
37,HIGHLAND,45,0.121,9.719999999999999,41494,0
38,SHELBY,52,0.163,6.619999999999999,59149,0
39,BELMONT,75,0.151,7.8,45675,0
40,HARDIN,33,0.135,7.039999999999999,44101,0
41,VINTON,14,0.091,9.580000000000002,41675,0
42,ATHENS,52,0.29100000000000004,8.1,38400,2
43,WASHINGTON,60,0.175,7.9399999999999995,44697,0
44,FRANKLIN,1385,0.376,5.92,53939,1
45,HOCKING,31,0.151,7.6800000000000015,43598,0
46,GEAUGA,80,0.37,5.24,76315,2
47,WARREN,225,0.396,6.0,81383,2
48,PICKAWAY,60,0.171,6.88,58472,0
49,CRAWFORD,39,0.126,8.459999999999999,41471,0
50,HARRISON,14,0.086,7.88,44221,0
51,FULTON,38,0.172,7.2,58782,0
52,ALLEN,99,0.174,7.12,49297,0
53,PORTAGE,156,0.26,6.9399999999999995,53609,2
54,MADISON,46,0.171,5.86,63736,0
55,MORROW,31,0.139,7.44,52312,0
56,MORGAN,13,0.111,9.299999999999999,39969,0
57,VAN WERT,24,0.157,6.5600000000000005,51264,0
58,LOGAN,40,0.157,6.58,49690,0
59,DEFIANCE,33,0.16699999999999998,7.040000000000001,53936,0
60,STARK,332,0.21899999999999997,7.1,48976,2
61,KNOX,51,0.218,6.5,50914,0
62,SENECA,46,0.142,7.18,48617,0
63,WAYNE,97,0.212,5.7,52717,0
64,OTTAWA,33,0.217,8.9,58793,0
65,PERRY,28,0.11,8.98,44738,0
66,HANCOCK,62,0.258,5.699999999999999,55265,2
67,MEDINA,129,0.308,5.38,70576,2
68,LICKING,128,0.228,6.340000000000001,59119,2
69,CARROLL,17,0.114,7.62,52166,0
70,FAIRFIELD,102,0.26,6.16,61450,2
71,TUSCARAWAS,60,0.14400000000000002,6.980000000000001,47588,0
72,WOOD,80,0.311,6.340000000000001,57390,2
73,MERCER,23,0.157,4.8,56124,0
74,COSHOCTON,20,0.121,9.06,41643,0
75,HENRY,16,0.161,8.06,56986,0
76,AUGLAIZE,26,0.175,5.640000000000001,58840,0
77,WILLIAMS,19,0.139,7.2,49031,0
78,MUSKINGUM,44,0.151,8.500000000000002,43324,0
79,UNION,27,0.262,5.4,76116,2
80,PUTNAM,14,0.19399999999999998,5.52,60036,0
81,DELAWARE,76,0.518,4.859999999999999,97679,2
82,WYANDOT,10,0.141,6.08,51109,0
83,ASHLAND,17,0.204,7.4,48338,0
84,HOLMES,6,0.078,4.799999999999999,53540,0
85,MONROE,7,0.099,9.84,41754,0
86,NOBLE,7,0.09300000000000001,9.78,47714,0
87,PAULDING,5,0.127,7.08,49796,0
